postal_code,Judet,localitate,Tip Artera,Denumire,Zona de livrare,Livrare sambata
10116,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 56-62,0,DA
10117,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 64-88,0,DA
10118,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 90-96,0,DA
10119,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 98-148,0,DA
10121,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 150-168,0,DA
10122,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 170-174,0,DA
10123,Bucuresti,Bucuresti,Strada,Stirbei Voda nr. 176-T,0,DA
10124,Bucuresti,Bucuresti,Intrare,Stirbei Voda,0,DA
10125,Bucuresti,Bucuresti,Piata,Ionesco Eugen,0,DA
10131,Bucuresti,Bucuresti,Strada,"Brezoianu Ion, actor nr. 15-31",0,DA
10132,Bucuresti,Bucuresti,Strada,"Brezoianu Ion, actor nr. 33-39",0,DA
10133,Bucuresti,Bucuresti,Strada,"Brezoianu Ion, actor nr. 41-43",0,DA
10134,Bucuresti,Bucuresti,Strada,"Brezoianu Ion, actor nr. 45-49",0,DA
10135,Bucuresti,Bucuresti,Strada,"Brezoianu Ion, actor nr. 51-T",0,DA
10136,Bucuresti,Bucuresti,Strada,"Brezoianu Ion, actor nr. 16-24",0,DA
10137,Bucuresti,Bucuresti,Strada,"Brezoianu Ion, actor nr. 26-34",0,DA
10138,Bucuresti,Bucuresti,Strada,"Brezoianu Ion, actor nr. 36-42",0,DA
10139,Bucuresti,Bucuresti,Strada,"Brezoianu Ion, actor nr. 44-T",0,DA
10141,Bucuresti,Bucuresti,Strada,Mille Constantin nr. 1-T,0,DA
10142,Bucuresti,Bucuresti,Strada,Mille Constantin nr. 2-T,0,DA
10143,Bucuresti,Bucuresti,Strada,Otetelesanu Ion,0,DA
10144,Bucuresti,Bucuresti,Strada,Millo Matei nr. 1-T,0,DA
10145,Bucuresti,Bucuresti,Strada,Millo Matei nr. 2-T,0,DA
10146,Bucuresti,Bucuresti,Strada,Vraca George,0,DA
10147,Bucuresti,Bucuresti,Strada,"Demetriade Aristide, actor",0,DA
10148,Bucuresti,Bucuresti,Intrare,Episcopul Ambrozie,0,DA
10149,Bucuresti,Bucuresti,Piata,Tricolorului,0,DA
10151,Bucuresti,Bucuresti,Strada,Zalomit Z. Ion,0,DA
10152,Bucuresti,Bucuresti,Intrare,Rigas,0,DA
10153,Bucuresti,Bucuresti,Intrare,Eftimiu Victor nr. 1-T,0,DA
10154,Bucuresti,Bucuresti,Intrare,Eftimiu Victor nr. 2-T,0,DA
10155,Bucuresti,Bucuresti,Piata,"Maracineanu Valter, cpt.",0,DA
10156,Bucuresti,Bucuresti,Strada,Sipotul Fântânelor nr. 1-T,0,DA
10157,Bucuresti,Bucuresti,Strada,Sipotul Fântânelor nr. 2-T,0,DA
10158,Bucuresti,Bucuresti,Strada,Poiana Narciselor,0,DA
10159,Bucuresti,Bucuresti,Strada,"Sion Vasile, dr.",0,DA
10161,Bucuresti,Bucuresti,Strada,Luterana nr. 1-T,0,DA
10162,Bucuresti,Bucuresti,Strada,Luterana nr. 2-T,0,DA
10163,Bucuresti,Bucuresti,Strada,"Berthelot Henri Mathias, g-ral. nr. 1-7",0,DA
10164,Bucuresti,Bucuresti,Strada,"Berthelot Henri Mathias, g-ral. nr. 9-47",0,DA
10165,Bucuresti,Bucuresti,Strada,"Berthelot Henri Mathias, g-ral. nr. 49-69",0,DA
10166,Bucuresti,Bucuresti,Strada,"Berthelot Henri Mathias, g-ral. nr. 71-T",0,DA
10167,Bucuresti,Bucuresti,Strada,"Berthelot Henri Mathias, g-ral. nr. 2-10",0,DA
10168,Bucuresti,Bucuresti,Strada,"Berthelot Henri Mathias, g-ral. nr. 12-32",0,DA
10169,Bucuresti,Bucuresti,Strada,"Berthelot Henri Mathias, g-ral. nr. 34-50",0,DA
10171,Bucuresti,Bucuresti,Strada,"Berthelot Henri Mathias, g-ral. nr. 52-82",0,DA
10172,Bucuresti,Bucuresti,Strada,"Berthelot Henri Mathias, g-ral. nr. 84-T",0,DA
10173,Bucuresti,Bucuresti,Intrare,Sfântul Sava,0,DA
10174,Bucuresti,Bucuresti,Strada,Haret Spiru nr. 1-T,0,DA
10175,Bucuresti,Bucuresti,Strada,Haret Spiru nr. 2-8,0,DA
10176,Bucuresti,Bucuresti,Strada,Haret Spiru nr. 10-T,0,DA
10177,Bucuresti,Bucuresti,Strada,Putul cu Plopi nr. 1-T,0,DA
10178,Bucuresti,Bucuresti,Strada,Putul cu Plopi nr. 2-T,0,DA
10179,Bucuresti,Bucuresti,Strada,Astronomului,0,DA
10181,Bucuresti,Bucuresti,Bulevard,Schitul Magureanu nr. 5-15,0,DA
10182,Bucuresti,Bucuresti,Bulevard,Schitul Magureanu nr. 17-25,0,DA
10183,Bucuresti,Bucuresti,Bulevard,Schitul Magureanu nr. 27-33,0,DA
10184,Bucuresti,Bucuresti,Bulevard,Schitul Magureanu nr. 35-53,0,DA
10185,Bucuresti,Bucuresti,Bulevard,Schitul Magureanu nr. 55-T,0,DA
10186,Bucuresti,Bucuresti,Bulevard,Schitul Magureanu nr. 10-T,0,DA
10187,Bucuresti,Bucuresti,Strada,"Stahi D. Constantin, pictor nr. 1-T",0,DA
10188,Bucuresti,Bucuresti,Strada,"Stahi D. Constantin, pictor nr. 2-T",0,DA
10191,Bucuresti,Bucuresti,Strada,"Cobalcescu Grigore, prof. nr. 1-13",0,DA
10192,Bucuresti,Bucuresti,Strada,"Cobalcescu Grigore, prof. nr. 15-37",0,DA
10193,Bucuresti,Bucuresti,Strada,"Cobalcescu Grigore, prof. nr. 39-T",0,DA
10194,Bucuresti,Bucuresti,Strada,"Cobalcescu Grigore, prof. nr. 2-10",0,DA
10195,Bucuresti,Bucuresti,Strada,"Cobalcescu Grigore, prof. nr. 12-28",0,DA
10196,Bucuresti,Bucuresti,Strada,"Cobalcescu Grigore, prof. nr. 30-T",0,DA
10197,Bucuresti,Bucuresti,Strada,"Cristescu Constantin, g-ral. nr. 1-T",0,DA
10198,Bucuresti,Bucuresti,Strada,"Cristescu Constantin, g-ral. nr. 2-T",0,DA
10201,Bucuresti,Bucuresti,Strada,Lazar Gheorghe nr. 1-T,0,DA
10202,Bucuresti,Bucuresti,Strada,Lazar Gheorghe nr. 2-T,0,DA
10203,Bucuresti,Bucuresti,Strada,Ostasilor nr. 1-T,0,DA
10204,Bucuresti,Bucuresti,Strada,Ostasilor nr. 2-6,0,DA
10205,Bucuresti,Bucuresti,Strada,Ostasilor nr. 8-T,0,DA
